Anno;Codice Regione;Descrizione Regione;Codice Azienda;Codice struttura;Denominazione struttura;Indirizzo;Codice Comune;Comune;Sigla provincia;Codice tipo struttura;Descrizione tipo struttura
2010;1;PIEMONTE             ;901;10901;AZIENDA OSPED.S.GIOVANNI BATTISTA DI TOR;CORSO LAZZARI FRANCESCO DETTO IL BRAMANT;1272;TORINO                                  ;TO;2.2;Azienda Ospedaliera integrata con l'Università
2010;1;PIEMONTE             ;902;10902;C.T.O.-MARIA ADELAIDE                   ;VIA ZURETTI GIANFRANCO                  ;1272;TORINO                                  ;TO;0;Azienda Ospedaliera
2010;1;PIEMONTE             ;903;10903;AZIENDA OSPEDALIERA O.I.R.M.S.-SANT'ANNA;CORSO SPEZIA                            ;1272;TORINO                                  ;TO;0;Azienda Ospedaliera
2010;1;PIEMONTE             ;904;10904;AZIENDA OSPEDALIERO UNIVERSITARIA S.LUIG;REGIONE GONZOLE                         ;1171;ORBASSANO                               ;TO;2.2;Azienda Ospedaliera integrata con l'Università
2010;1;PIEMONTE             ;905;10905;AZIENDA OSPED. NOVARA E GALLIATE        ;CORSO MAZZINI GIUSEPPE                  ;3106;NOVARA                                  ;NO;2.2;Azienda Ospedaliera integrata con l'Università
2010;1;PIEMONTE             ;906;10906;AZ. OSPEDAL. S. CROCE E CARLE;VIA COPPINO MICHELE                     ;4078;CUNEO                                   ;CN;0;Azienda Ospedaliera
2010;1;PIEMONTE             ;907;10907;AZ. SS.ANTONIO E BIAGIO E C.ARRIGO      ;VIA VENEZIA                             ;6003;ALESSANDRIA                             ;AL;0;Azienda Ospedaliera
2010;1;PIEMONTE             ;908;10908;OSPEDALE MAURIZIANO  UMBERTO I - TORINO ;LARGO TURATI FILIPPO                    ;1272;TORINO                                  ;TO;0;Azienda Ospedaliera
2011;1;PIEMONTE             ;901;10901;AZIENDA OSPED.S.GIOVANNI BATTISTA DI TOR;CORSO LAZZARI FRANCESCO DETTO IL BRAMANT;1272;TORINO                                  ;TO;2.2;Azienda Ospedaliera integrata con l'Università
2011;1;PIEMONTE             ;902;10902;C.T.O.-MARIA ADELAIDE                   ;VIA ZURETTI GIANFRANCO                  ;1272;TORINO                                  ;TO;0;Azienda Ospedaliera
