Air Quality Network;Region Code
NET.IT074A;19
NET.IT082A;3
NET.IT085A;4
NET.IT090A;4
NET.IT091A;3
NET.IT092A;3
NET.IT094A;19
NET.IT099A;3
NET.IT100A;3
NET.IT101A;7
NET.IT106A;19
NET.IT107A;3
NET.IT108A;3
NET.IT109A;3
NET.IT110A;3
NET.IT112A;12
NET.IT114A;3
NET.IT116A;15
NET.IT119A;2
NET.IT123A;7
NET.IT127A;7
NET.IT128A;19
NET.IT133A;17
NET.IT137A;13
NET.IT152A;13
NET.IT158A;3
NET.IT218A;16
NET.IT219A;16
NET.IT223A;16
NET.IT224A;1
NET.IT229A;16
NET.IT230A;16
NET.IT231A;7
NET.IT232A;14
NET.IT236A;16
NET.IT237A;16
NET.IT245A;18
NET.IT247A;16
NET.IT248A;13
NET.IT249A;13
NET.IT250A;19
NET.IT252A;10
NET.IT253A;18
NET.IT254A;16
NET.IT255A;8
NET.IT256A;13
NET.IT258A;18
NET.IT259A;16
NET.IT260A;18
NET.IT263A;16
NET.IT265A;18
NET.IT266A;18
NET.IT267A;18
NET.IT268A;6
NET.IT269A;16
NET.IT270A;16
NET.IT271A;16
NET.IT272A;16
NET.IT273A;16
NET.IT274A;6
NET.IT275A;6
NET.IT276A;6
NET.IT277A;6
NET.IT278A;6
NET.IT279A;9
NET.IT280A;20
NET.IT281A;5
NET.IT282A;11
