region_istat_code,region_name,tot_positives,deaths,population,tot_positives_every_100000,deaths_every_100000,pm10_mean_level,surface_km2,population_density
1,Piemonte,7703,3783,4311217,179,88,22.84,25386.6971,170
2,Valle d'Aosta/Vallée d'Aoste,32,143,125034,26,114,16.98,3260.8546,38
3,Lombardia,25614,15840,10027602,255,158,27.93,23863.0974,420
4,Trentino-Alto Adige/Südtirol,730,748,1078069,68,69,16.57,13604.7213,79
5,Veneto,2660,1869,4879133,55,38,28.97,18345.3695,266
6,Friuli-Venezia Giulia,412,329,1206216,34,27,19.24,7932.4822,152
7,Liguria,1624,1419,1524826,107,93,19.46,5416.152,282
8,Emilia-Romagna,4457,4055,4464119,100,91,24.94,22444.542,199
9,Toscana,1700,1013,3692555,46,27,20.74,22987.4371,161
10,Umbria,53,75,870165,6,9,20.06,8464.2233,103
11,Marche,1692,994,1512672,112,66,22.92,9401.1839,161
12,Lazio,3569,684,5755700,62,12,21.86,17231.7227,334
13,Abruzzo,1092,398,1293941,84,31,20.11,10831.4964,119
14,Molise,183,22,300516,61,7,17.2,4460.4373,67
15,Campania,1268,405,5712143,22,7,27.88,13670.598,418
16,Puglia,1793,487,3953305,45,12,21.51,19540.5181,202
17,Basilicata,39,27,553254,7,5,17.7,10073.1105,55
18,Calabria,275,96,1894110,15,5,22.09,15221.6149,124
19,Sicilia,1453,269,4875290,30,6,23.75,25832.5454,189
20,Sardegna,245,129,1611621,15,8,20.09,24099.453,67
