"ITTER107","Territorio","TIPO_DATO15","Tipo indicatore","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",47.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",46.5,,
"ITC3","Liguria","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",49.2,,
"ITC4","Lombardia","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",45.5,,
"ITDA","Trentino Alto Adige / Südtirol","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",44,,
"ITD3","Veneto","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",45.9,,
"ITD4","Friuli-Venezia Giulia","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",47.8,,
"ITD5","Emilia-Romagna","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",46.4,,
"ITE1","Toscana","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",47.3,,
"ITE2","Umbria","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",47.3,,
"ITE3","Marche","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",46.9,,
"ITE4","Lazio","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",45.5,,
"ITF1","Abruzzo","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",46.5,,
"ITF2","Molise","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",47.2,,
"ITF3","Campania","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",43,,
"ITF4","Puglia","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",45.1,,
"ITF5","Basilicata","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",46.2,,
"ITF6","Calabria","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",44.9,,
"ITG1","Sicilia","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",44.4,,
"ITG2","Sardegna","MEANAGEP","età media della popolazione - al 1° gennaio","2020","2020",47.3,,
