"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020","2020",4311217,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-01","Gen-2020",4311217,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-02","Feb-2020",4309777,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-03","Mar-2020",4308215,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-04","Apr-2020",4303178,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-05","Mag-2020",4297437,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-06","Giu-2020",4294968,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-07","Lug-2020",4293373,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-08","Ago-2020",4292021,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-09","Set-2020",4290413,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-10","Ott-2020",4289901,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-11","Nov-2020",4288050,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2020-12","Dic-2020",4282200,,
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-01","Gen-2021",4274945,"p","dato provvisorio"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-02","Feb-2021",4271472,"p","dato provvisorio"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-03","Mar-2021",4269477,"p","dato provvisorio"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-04","Apr-2021",4265800,"p","dato provvisorio"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-05","Mag-2021",4262375,"p","dato provvisorio"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-06","Giu-2021",4261303,"p","dato provvisorio"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-07","Lug-2021",4259945,"p","dato provvisorio"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-08","Ago-2021",4258820,"p","dato provvisorio"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-09","Set-2021",4257972,"p","dato provvisorio"
"ITC1","Piemonte","BEG","popolazione inizio periodo","9","totale","2021-10","Ott-2021",4257828,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020","2020",125034,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-01","Gen-2020",125034,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-02","Feb-2020",124928,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-03","Mar-2020",124830,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-04","Apr-2020",124673,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-05","Mag-2020",124517,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-06","Giu-2020",124456,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-07","Lug-2020",124447,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-08","Ago-2020",124478,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-09","Set-2020",124423,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-10","Ott-2020",124434,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-11","Nov-2020",124354,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2020-12","Dic-2020",124102,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-01","Gen-2021",124089,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-02","Feb-2021",123967,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-03","Mar-2021",123844,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-04","Apr-2021",123795,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-05","Mag-2021",123727,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-06","Giu-2021",123672,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-07","Lug-2021",123615,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-08","Ago-2021",123617,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-09","Set-2021",123518,"p","dato provvisorio"
"ITC2","Valle d'Aosta / Vallée d'Aoste","BEG","popolazione inizio periodo","9","totale","2021-10","Ott-2021",123494,"p","dato provvisorio"
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020","2020",1524826,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-01","Gen-2020",1524826,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-02","Feb-2020",1523878,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-03","Mar-2020",1523084,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-04","Apr-2020",1520797,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-05","Mag-2020",1518445,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-06","Giu-2020",1517407,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-07","Lug-2020",1516596,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-08","Ago-2020",1516239,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-09","Set-2020",1515837,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-10","Ott-2020",1515285,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-11","Nov-2020",1514224,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2020-12","Dic-2020",1512527,,
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2021-01","Gen-2021",1518495,"p","dato provvisorio"
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2021-02","Feb-2021",1516895,"p","dato provvisorio"
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2021-03","Mar-2021",1515199,"p","dato provvisorio"
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2021-04","Apr-2021",1513690,"p","dato provvisorio"
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2021-05","Mag-2021",1512317,"p","dato provvisorio"
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2021-06","Giu-2021",1511247,"p","dato provvisorio"
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2021-07","Lug-2021",1510667,"p","dato provvisorio"
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2021-08","Ago-2021",1510496,"p","dato provvisorio"
"ITC3","Liguria","BEG","popolazione inizio periodo","9","totale","2021-09","Set-2021",1510281,"p","dato provvisorio"
