Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting)
"Italy","NET.IT232A","ARPA MOLISE","IT1804A","VENAFRO1","SPO.IT1804A_5_nephelometry_2006-02-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","25.154","ug/m3","24.93","1","Traffic","Urban","14.0472","41.4842","182.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1804A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT232A","ARPA MOLISE","IT1962A","VENAFRO2","SPO.IT1962A_5_BETA_2018-07-19_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","29.927","ug/m3","93.42","1","Background","Urban","14.0333","41.4789","170.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1962A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT280A","RETE MONITORAGGIO ARIA REGIONE SARDEGNA","IT1309A","CENS10","SPO.IT1309A_5_BETA_2006-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","22.309","ug/m3","97.81","1","Traffic","Urban","9.5017","40.9283","15.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1309A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT252A","RETE REGIONALE UMBRIA","IT1900A","PORTA ROMANA","SPO.IT1900A_5_BETA_2008-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","23.646","ug/m3","97.53","1","Traffic","Urban","12.7078","42.9517","234.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1900A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT2245A","BL - La Cerva","SPO.IT2245A_5_gravi_2018-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","22.237","ug/m3","99.45","1","Background","Urban","12.2128","46.1438","403.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2245A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT260A","RIZZICONI ENERGIA S.P.A.","IT2026A","Polistena","SPO.IT2026A_5_BETA_2007-01-11_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","27.674","ug/m3","81.37","1","Industrial","Suburban","16.0702","38.3999","224.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT2026A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT133A","MONITORING NETWORK OF REGIONE BASILICATA","IT1740A","San Nicola di Melfi","SPO.IT1740A_5_BETA_2006-03-08_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","16.848","ug/m3","95.07","1","Industrial","Rural","15.7227","41.0671","187.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1740A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT224A","PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA","IT1948A","Vinchio - San Michele","SPO.IT1948A_5_gravi_2009-01-30_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","21.453","ug/m3","94.25","1","Background","Rural","8.3103","44.8080","258.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1948A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT276A","RETE DI RILEVAMENTO QA DELLA ZONA DI PIANURA","IT1168A","S.Giovanni al Natisone","SPO.IT1168A_5_BETA_2014-03-09_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","18.158","ug/m3","94.06","1","Background","Suburban","13.3933","45.9733","62.0","","","","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1168A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
"Italy","NET.IT249A","RETE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DELLA CITTA' DI L'AQUILA","IT1856A","AQ - Amiternum","SPO.IT1856A_5_BETA_2007-01-01_00:00:00","PM10","Particulate matter < 10 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","15.604","ug/m3","86.85","1","Background","Urban","13.3831","42.3642","673.0","L'Aquila                                                                        ","IT526C1                                           ","70019","E1a/validated data AQ e-Reporting","06/03/2022 06:58:35","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=IT&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA.IT1856A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate="
